pupu2122_2_B,L
blabla0713_6_A,MLd
pupi0414_10,OV
blublu0809_2_B,CM
oo2015_9_A,L
yy1617_3_A,MLd
pupi0414_1,OV
yy2728_7_B,CM
yy1617_5_B,L
yy1617_4_A,MLd
obla1305_7,OV
yy0212_2_B,CM
pupu0606_4_B,L
blabla1515_3_A,MLd
gr0869_5,OV
oo1220_2_A,CM
oo1920_6_B,L
gg0116_1_A,MLd
pupi0414_8,OV
yy0203_6_A,CM
yy2728_4_B,L
gg0116_2_A,MLd
gr1070_1,OV
pupu2122_1_B,CM
ww1211_5_B,L
oo0909_2_A,MLd
glb5202_9,OV
yy4344_1_B,CM
blabla1515_6_B,L
gg0116_4_A,MLd
glb5656_2,OV
blublu0809_1_B,CM
oo2015_6_A,L
gg0304_9_A,MLd
gr1070_4,OV
yg0616_7_B,CM
ww1211_4_B,L
blabla0713_2_A,MLd
obla17102_10,OV
oo2015_2_B,CM
blabla1515_2_B,L
blublu0916_5_A,MLd
obla17102_2,OV
yy0212_5,CM
blabla0903_1_B,L
pupu1203_4_A,MLd
obla17102_8,OV
yg0616_4_B,CM
yy0203_3_A,L
gg0116_5_A,MLd
pupi0414_5,OV
yy0203_4_A,CM
oo0909_6_B,L
blabla1515_5_A,MLd
glb5202_6,OV
oo1920_3_B,CM
oo1712_4_B,L
blublu0916_3_A,MLd
blahp4108_4,OV
pupu0333_5_B,CM
blabla1515_7_B,L
publu0717_2_A,MLd
obla17102_7,OV
oo1220_2_B,CM
ww1211_1_B,L
blabla1515_8_A,MLd
obla17102_6,OV
yy0203_2_A,CM
oo2015_5_B,L
oo1712_8_A,MLd
blahp9904_9,OV
yg0616_5_B,CM
oo2015_3_B,L
pipi1112_1_A,MLd
glb5202_7,OV
oo1220_1_A,CM
oo2015_7_A,L
gg0304_10_A,MLd
obla17102_9,OV
yg0616_6_B,CM
pupu2122_3_B,L
blublu0916_1_A,MLd
obla17102_5,OV
oo1920_10_B,CM
pupu0606_2_B,L
blabla0713_5_A,MLd
obla1305_5,OV
oo0108_4_B,CM
blabla0903_2_B,L
pipi1112_2_A,MLd
obla17102_4,OV
blabla0713_3_B,L
pupu1203_2_A,MLd
pupi0414_2,OV
gg0304_6_B,L
blabla1904_1_A,MLd
gr0965_6,OV
oo0909_5_B,L
blublu0809_5_A,MLd
blahp4108_5,OV
blublu4546_2_A,L
lghp1616_6_A,MLd
glb5656_5,OV
oo0909_2_B,L
lghp1616_10_A,MLd
gr1070_2,OV
oo2015_5_A,L
lghp1616_9_A,MLd
obla1305_8,OV
blabla1819_4_B,L
blabla0713_4_A,MLd
obla1305_4,OV
yg0111_9_B,L
blabla1904_5_A,MLd
gr0965_7,OV
ww1211_3_B,L
oo0108_4_A,MLd
glb5656_3,OV
oo2015_8_A,L
publu0717_11_A,MLd
gr1070_5,OV
blabla0713_4_B,L
pupu1203_1_A,MLd
gr0965_3,OV
pupu2122_2_A,L
gg0318_2_A,MLd
gr1070_3,OV
oo1712_7_B,L
oo0108_2_A,MLd
gr0965_1,OV
blabla0903_1_A,L
oo1712_3_A,MLd
blahp9904_7,OV
pupu0511_2_A,L
gg0304_8_A,MLd
pupi0414_6,OV
publu0717_9_B,L
blublu4142_1_A,MLd
gr0965_2,OV
gg0304_8_B,L
yy1617_5_A,MLd
blahp9904_8,OV
ww1211_2_B,L
pupu1203_3_A,MLd
obla1305_6,OV
blabla0713_2_B,L
pupu0333_3_A,MLd
blugr1612_2,OV
publu0717_3_B,L
oo1712_5_A,MLd
pupi0414_7,OV
yg0616_8_B,L
pipu1018_10_A,MLd
pupi0414_3,OV
pupu0607_5_B,L
lghp1616_5_A,MLd
pupu2122_5_A,L
oo1415_6_A,MLd
oo1415_5_B,L
blabla1904_3_A,MLd
rr3637_2_B,L
oo1415_5_A,MLd
blabla1515_4_B,L
blabla1904_4_A,MLd
pupu2122_3_A,L
pupu0606_3_A,MLd
yg0331_9_B,L
gg0318_1_A,MLd
yy2728_7_A,L
pipu1018_9_A,MLd
yy0203_5_B,L
blabla1904_2_A,MLd
yg0111_5_B,L
oo1712_2_A,MLd
lghp1616_7_B,L
gg0318_3_A,MLd
blabla0903_2_A,L
blabla0713_3_A,MLd
lghp1616_8_B,L
yg0331_6_A,MLd
rr3637_3_A,L
lghp1616_7_A,MLd
yy0203_6_B,L
lghp1616_4_A,MLd
lghp1616_9_B,L
pupu0333_2_A,MLd
oo1010_3_B,L
yy1617_2_A,MLd
blabla0903_3_B,L
oo1415_4_A,MLd
rr1416_4_B,L
pipu0617_7_A,MLd
blabla0903_3_A,L
publu0717_6_A,MLd
lghp1616_6_B,L
gg0304_15_A,MLd
blabla1515_3_B,L
pipu1018_7_A,MLd
pipu1018_11_B,L
publu0717_5_A,MLd
blabla1515_8_B,L
publu0717_4_A,MLd
pipu0617_3_B,L
blublu0809_4_A,MLd
pipu0617_10_B,L
publu0717_9_A,MLd
rr1416_2_B,L
blabla1515_7_A,MLd
pipu1018_1_B,L
oo1712_4_A,MLd
gg0304_9_B,L
lghp1616_8_A,MLd
rr1416_5_B,L
pipu1018_8_A,MLd
oo1712_3_B,L
blublu0916_4_A,MLd
blublu4142_5_B,L
gg0116_3_A,MLd
rr3637_1_B,L
oo1920_4_A,MLd
blabla0713_6_B,L
oo1920_3_A,MLd
blabla0713_5_B,L
gg0318_4_A,MLd
lghp1616_4_B,L
oo1920_7_A,MLd
blublu4546_2_B,L
oo1415_3_A,MLd
yg0111_3_B,L
blublu0809_1_A,MLd
pupu0607_3_A,L
pupu0606_2_A,MLd
yg0331_3_B,L
rr3334_3_A,MLd
oo1010_4_B,L
yg0331_3_A,MLd
pipu0617_5_B,L
publu0717_8_A,MLd
yy1617_2_B,L
pipu1018_5_A,MLd
blublu4142_3_B,L
gg0304_6_A,MLd
pipu1018_6_B,L
oo0909_6_A,MLd
pupu1203_3_B,L
pipu0617_6_A,MLd
pupu0607_4_B,L
pupu0606_4_A,MLd
lghp1616_5_B,L
gg0304_12_A,MLd
blublu0809_3_B,L
pipu0617_10_A,MLd
gg1114_5_B,L
oo1712_7_A,MLd
oo1415_6_B,L
rr3334_4_A,MLd
blabla1515_5_B,L
pipu0617_3_A,MLd
oo2015_6_B,L
blabla1819_1_A,MLd
pipu0617_8_B,L
oo1010_4_A,MLd
oo1920_7_B,L
oo0108_3_A,MLd
yy0203_4_B,L
yg0331_7_A,MLd
pupu0511_5_A,L
pupu0333_5_A,MLd
blublu9394_3_B,L
oo1920_9_A,MLd
yy2728_4_A,L
pipu0617_8_A,MLd
yg0616_9_B,L
blabla1515_6_A,MLd
yg0331_2_B,L
yg0331_8_A,MLd
yg0331_10_B,L
oo1920_5_A,MLd
blublu0809_4_B,L
oo1010_3_A,MLd
yg0616_10_B,L
pipu1018_6_A,MLd
oo1712_8_B,L
yg0331_4_A,MLd
pipu0617_9_B,L
yg0331_1_A,MLd
yg0111_10_B,L
publu0717_10_A,MLd
ww1211_5_A,L
oo1920_10_A,MLd
pipu0617_4_B,L
publu0717_7_A,MLd
blublu9394_2_B,L
pupu1203_5_A,MLd
publu0717_7_B,L
blublu0809_3_A,MLd
yg0331_9_A,MLd
pipu1018_4_A,MLd
blabla0713_1_A,MLd
pipu1018_11_A,MLd
oo1415_2_A,MLd
gg0304_11_A,MLd
blabla1515_4_A,MLd
pupu0333_4_A,MLd
blublu0809_2_A,MLd
