"Name","Info","DirectFit","LARS","GLPP","GLPP+SR","SCG+exp"
"yy1617_4_A",141.138947,0.298405,0.44851,0.244569,0.262289,0.895354
"gg0116_1_A",110.64393,0.151942,0.316813,0.104789,0.06616,0.732491
"oo0909_2_A",75.947456,0.271881,0.501689,0.4896,0.503283,0.638601
"pupu1203_4_A",61.125003,0.410926,0.727186,0.312883,0.309474,0.795534
"lghp1616_9_A",44.719169,0.4791,0.739878,0.699271,0.69801,0.728666
"publu0717_2_A",44.280756,0.205566,0.451593,0.22753,0.218459,0.595325
"pupu0333_1_A",44.212749,0.236159,0.456211,0.295162,0.279522,0.482304
"pupu1203_1_A",42.634145,0.197736,0.466749,0.276159,0.277068,0.636392
"blabla0713_5_A",33.805384,0.449562,0.722749,0.537428,0.473744,0.907585
"blublu0809_5_A",31.169389,0.446613,0.709802,0.728212,0.732281,0.912501
"oo1712_3_A",31.112749,0.180845,0.450421,0.205909,0.20608,0.546582
"oo1712_2_A",29.721439,0.192201,0.491778,0.35345,0.367644,0.459518
